from,car_count,bike_count
2020-10-03,49979.0,35
2020-10-04,46078.0,27
2020-10-05,75670.0,51
2020-10-06,75899.0,16
2020-10-07,78048.0,32
2020-10-08,80499.0,58
2020-10-09,81539.0,55
2020-10-10,54406.0,16
2020-10-11,53490.0,44
2020-10-12,74660.0,52
2020-10-13,77488.0,41
2020-10-14,78790.0,55
2020-10-15,80139.0,43
2020-10-16,76531.0,50
2020-10-17,53504.0,28
2020-10-18,53271.0,22
2020-10-19,73861.0,40
2020-10-20,69014.0,15
2020-10-21,77039.0,22
2020-10-22,78601.0,47
2020-10-23,75004.0,47
2020-10-24,52135.0,23
2020-10-25,50403.0,13
2020-10-26,73672.0,27
2020-10-27,73018.0,26
2020-10-28,73736.0,39
2020-10-29,73795.0,48
2020-10-30,68529.0,29
2020-10-31,47754.0,39
2020-11-01,46536.0,13
2020-11-02,66849.0,27
2020-11-03,68222.0,25
2020-11-04,69124.0,28
2020-11-05,70456.0,22
2020-11-06,67034.0,31
2020-11-07,43714.0,19
2020-11-08,43743.0,19
2020-11-09,63032.0,12
2020-11-10,64761.0,21
2020-11-11,65568.0,20
2020-11-12,66919.0,15
2020-11-13,63720.0,22
2020-11-14,43164.0,26
2020-11-15,38820.0,12
2020-11-16,62881.0,15
2020-11-17,64580.0,14
2020-11-18,66492.0,24
2020-11-19,67956.0,14
2020-11-20,65392.0,11
2020-11-21,41327.0,18
2020-11-22,40721.0,25
2020-11-23,64655.0,25
2020-11-24,66577.0,16
2020-11-25,71033.0,18
2020-11-26,70401.0,23
2020-11-27,67653.0,15
2020-11-28,44479.0,19
2020-11-29,40832.0,9
2020-11-30,65744.0,14
2020-12-01,68091.0,11
2020-12-02,68704.0,4
2020-12-03,68514.0,9
2020-12-04,65376.0,9
2020-12-05,44143.0,8
2020-12-06,43193.0,25
2020-12-07,65770.0,9
2020-12-08,68503.0,4
2020-12-09,71045.0,11
2020-12-10,72250.0,7
2020-12-11,68801.0,10
2020-12-12,46490.0,9
2020-12-13,46128.0,13
2020-12-14,68238.0,9
2020-12-15,71410.0,9
2020-12-16,75121.0,10
2020-12-17,74704.0,5
2020-12-18,72793.0,7
2020-12-19,50172.0,6
2020-12-20,47379.0,5
2020-12-21,70060.0,7
2020-12-22,70530.0,15
2020-12-23,62801.0,8
2020-12-24,38063.0,5
2020-12-25,32983.0,5
2020-12-26,34838.0,1
2020-12-27,34817.0,3
2020-12-28,46213.0,1
2020-12-29,47367.0,6
2020-12-30,48708.0,3
2020-12-31,30996.0,9
2021-01-01,27880.0,2
2021-01-02,39196.0,7
2021-01-03,38328.0,7
2021-01-04,56636.0,15
2021-01-05,58706.0,8
2021-01-06,59245.0,14
2021-01-07,60025.0,9
2021-01-08,58162.0,7
2021-01-09,37035.0,6
2021-01-10,34065.0,9
2021-01-11,58496.0,7
2021-01-12,59964.0,4
2021-01-13,61687.0,14
2021-01-14,64586.0,6
2021-01-15,60977.0,12
2021-01-16,37110.0,11
2021-01-17,35044.0,8
2021-01-18,61661.0,10
2021-01-19,62395.0,10
2021-01-20,63472.0,10
2021-01-21,64767.0,6
2021-01-22,63034.0,12
2021-01-23,34648.0,11
2021-01-24,31707.0,5
2021-01-25,50571.0,10
2021-01-26,50879.0,12
2021-01-27,52359.0,7
2021-01-28,54379.0,11
2021-01-29,53097.0,8
2021-01-30,32061.0,5
2021-01-31,33236.0,12
2021-02-01,54847.0,4
2021-02-02,56871.0,8
2021-02-03,60376.0,14
2021-02-04,62093.0,10
2021-02-05,60957.0,8
2021-02-06,38698.0,7
2021-02-07,39795.0,10
2021-02-08,60166.0,14
2021-02-09,62852.0,20
2021-02-10,63924.0,13
2021-02-11,66428.0,10
2021-02-12,62796.0,7
2021-02-13,41121.0,6
2021-02-14,42706.0,7
2021-02-15,61476.0,8
2021-02-16,63594.0,9
2021-02-17,63015.0,3
2021-02-18,66553.0,1
2021-02-19,64772.0,7
2021-02-20,43622.0,4
2021-02-21,38712.0,3
2021-02-22,61438.0,10
2021-02-23,65488.0,9
2021-02-24,67229.0,9
2021-02-25,65394.0,13
2021-02-26,61913.0,11
2021-02-27,44229.0,15
2021-02-28,46224.0,13
2021-03-01,66085.0,8
2021-03-02,65543.0,12
2021-03-03,66392.0,8
2021-03-04,67456.0,23
2021-03-05,63823.0,17
2021-03-06,40198.0,12
2021-03-07,45510.0,13
2021-03-08,64426.0,13
2021-03-09,65079.0,7
2021-03-10,63926.0,11
2021-03-11,51750.0,6
2021-03-12,62271.0,10
2021-03-13,40114.0,8
2021-03-14,40509.0,11
2021-03-15,64297.0,21
2021-03-16,62151.0,16
2021-03-17,62117.0,26
2021-03-18,64055.0,20
2021-03-19,60833.0,26
2021-03-20,39253.0,12
2021-03-21,40508.0,21
2021-03-22,61424.0,31
2021-03-23,64337.0,20
2021-03-24,65676.0,33
2021-03-25,68122.0,25
2021-03-26,64803.0,15
2021-03-27,41468.0,16
2021-03-28,35087.0,16
2021-03-29,56357.0,22
2021-03-30,58503.0,29
2021-03-31,55685.0,21
2021-04-01,39620.0,24
2021-04-02,35455.0,22
2021-04-03,35008.0,36
2021-04-04,42566.0,24
2021-04-05,42044.0,38
2021-04-06,63630.0,17
2021-04-07,64783.0,27
2021-04-08,66378.0,17
2021-04-09,65470.0,33
2021-04-10,44771.0,29
2021-04-11,42671.0,21
2021-04-12,59053.0,15
2021-04-13,66274.0,31
2021-04-14,68038.0,26
2021-04-15,70720.0,39
2021-04-16,67928.0,38
2021-04-17,45198.0,32
2021-04-18,47925.0,45
2021-04-19,67832.0,48
2021-04-20,69527.0,44
2021-04-21,69745.0,28
2021-04-22,71695.0,39
2021-04-23,69263.0,30
2021-04-24,46139.0,30
2021-04-25,45827.0,27
2021-04-26,69421.0,44
2021-04-27,71565.0,36
2021-04-28,74109.0,47
2021-04-29,74543.0,34
2021-04-30,75498.0,40
2021-05-01,44091.0,43
2021-05-02,48682.0,39
2021-05-03,70907.0,32
2021-05-04,71453.0,30
2021-05-05,70867.0,16
2021-05-06,75379.0,33
2021-05-07,72270.0,51
2021-05-08,52531.0,36
2021-05-09,43259.0,18
2021-05-10,68672.0,17
2021-05-11,74560.0,39
2021-05-12,77096.0,21
2021-05-13,50650.0,38
2021-05-14,64019.0,26
2021-05-15,46690.0,21
2021-05-16,46779.0,25
2021-05-17,44897.0,5
2021-05-18,73766.0,40
2021-05-19,75269.0,38
2021-05-20,75962.0,27
2021-05-21,74432.0,42
2021-05-22,48029.0,30
2021-05-23,39999.0,14
2021-05-24,48728.0,42
2021-05-25,73862.0,30
2021-05-26,74511.0,31
2021-05-27,79084.0,56
2021-05-28,75696.0,70
2021-05-29,54904.0,50
2021-05-30,56513.0,67
2021-05-31,74402.0,67
2021-06-01,76811.0,58
2021-06-02,78561.0,74
2021-06-03,80133.0,63
2021-06-04,75704.0,72
2021-06-05,56932.0,75
2021-06-06,56933.0,44
2021-06-07,74396.0,47
2021-06-08,77888.0,63
2021-06-09,80921.0,49
2021-06-10,82137.0,64
2021-06-11,77038.0,54
2021-06-12,57216.0,48
2021-06-13,58949.0,33
2021-06-14,76196.0,22
2021-06-15,80734.0,44
2021-06-16,81526.0,43
2021-06-17,83668.0,57
2021-06-18,80467.0,57
2021-06-19,60956.0,44
2021-06-20,60099.0,35
2021-06-21,79900.0,43
2021-06-22,84234.0,43
2021-06-23,83417.0,73
2021-06-24,85865.0,73
2021-06-25,79968.0,45
2021-06-26,60809.0,40
2021-06-27,61870.0,30
2021-06-28,81552.0,66
2021-06-29,83857.0,51
2021-06-30,87418.0,59
2021-07-01,86084.0,56
2021-07-02,80020.0,59
2021-07-03,63715.0,56
2021-07-04,60522.0,26
2021-07-05,79863.0,34
2021-07-06,79702.0,32
2021-07-07,74046.0,42
2021-07-08,75466.0,47
2021-07-09,71252.0,49
2021-07-10,57027.0,14
2021-07-11,59007.0,37
2021-07-12,74859.0,49
2021-07-13,71944.0,41
2021-07-14,71167.0,34
2021-07-15,75011.0,53
2021-07-16,73276.0,39
2021-07-17,57981.0,36
2021-07-18,60520.0,40
2021-07-19,72963.0,31
2021-07-20,69570.0,25
2021-07-21,69910.0,29
2021-07-22,71421.0,52
2021-07-23,70800.0,45
2021-07-24,57869.0,27
2021-07-25,62176.0,42
2021-07-26,70734.0,33
2021-07-27,66903.0,10
2021-07-28,70343.0,28
2021-07-29,71434.0,15
2021-07-30,73737.0,34
2021-07-31,20092.0,21
2021-08-01,0.0,20
2021-08-02,0.0,23
2021-08-03,0.0,34
2021-08-04,0.0,44
2021-08-05,0.0,46
2021-08-06,0.0,27
2021-08-07,0.0,34
2021-08-08,0.0,45
2021-08-09,0.0,44
2021-08-10,50463.0,56
2021-08-11,92230.0,52
2021-08-12,94026.0,57
2021-08-13,86067.0,47
2021-08-14,66515.0,37
2021-08-15,66882.0,34
2021-08-16,84863.0,60
2021-08-17,86967.0,69
2021-08-18,86979.0,65
2021-08-19,92166.0,48
2021-08-20,88115.0,54
2021-08-21,64560.0,55
2021-08-22,66713.0,40
2021-08-23,86237.0,53
2021-08-24,90727.0,56
2021-08-25,90126.0,70
2021-08-26,92073.0,57
2021-08-27,87121.0,38
2021-08-28,65465.0,51
2021-08-29,67537.0,34
2021-08-30,86096.0,54
2021-08-31,88095.0,75
2021-09-01,90327.0,55
2021-09-02,90382.0,57
2021-09-03,85800.0,47
2021-09-04,62512.0,41
2021-09-05,63893.0,36
2021-09-06,83330.0,34
2021-09-07,87051.0,55
2021-09-08,89590.0,70
2021-09-09,91278.0,51
2021-09-10,85228.0,74
2021-09-11,60954.0,20
2021-09-12,62167.0,32
2021-09-13,84773.0,49
2021-09-14,87839.0,46
2021-09-15,90349.0,50
2021-09-16,91419.0,41
2021-09-17,87892.0,39
2021-09-18,63115.0,28
2021-09-19,63401.0,38
2021-09-20,84999.0,51
2021-09-21,88367.0,33
2021-09-22,89003.0,49
2021-09-23,91411.0,33
2021-09-24,85993.0,28
2021-09-25,63094.0,46
2021-09-26,63411.0,24
2021-09-27,87480.0,22
2021-09-28,88965.0,42
2021-09-29,90923.0,33
2021-09-30,92300.0,32
2021-10-01,87000.0,25
2021-10-02,61090.0,25
2021-10-03,54531.0,4
2021-10-04,80322.0,35
2021-10-05,82560.0,29
2021-10-06,85534.0,22
2021-10-07,83730.0,30
2021-10-08,77453.0,9
2021-10-09,64464.0,29
2021-10-10,61676.0,15
2021-10-11,88111.0,27
2021-10-12,91256.0,24
2021-10-13,90906.0,35
2021-10-14,93691.0,37
2021-10-15,89593.0,31
2021-10-16,68206.0,27
2021-10-17,66561.0,15
2021-10-18,86803.0,33
2021-10-19,81665.0,19
2021-10-20,90377.0,26
2021-10-21,92904.0,31
2021-10-22,89112.0,27
2021-10-23,64648.0,34
2021-10-24,61867.0,20
2021-10-25,85474.0,25
2021-10-26,88869.0,30
2021-10-27,84009.0,35
2021-10-28,91470.0,37
2021-10-29,86591.0,23
2021-10-30,64779.0,44
2021-10-31,61035.0,22
2021-11-01,83595.0,17
2021-11-02,86078.0,27
2021-11-03,88300.0,39
2021-11-04,90262.0,24
2021-11-05,85624.0,26
2021-11-06,61057.0,22
2021-11-07,61536.0,10
2021-11-08,83882.0,21
2021-11-09,85448.0,18
2021-11-10,89120.0,26
2021-11-11,82359.0,23
2021-11-12,85167.0,22
2021-11-13,62173.0,27
2021-11-14,63324.0,19
2021-11-15,62190.0,25
2021-11-16,86370.0,16
2021-11-17,88016.0,23
2021-11-18,89657.0,20
2021-11-19,84540.0,25
2021-11-20,62805.0,30
2021-11-21,61182.0,24
2021-11-22,81732.0,17
2021-11-23,89726.0,24
2021-11-24,88813.0,21
2021-11-25,91476.0,15
2021-11-26,87338.0,15
2021-11-27,62542.0,16
2021-11-28,58783.0,15
2021-11-29,81987.0,13
2021-11-30,80219.0,8
2021-12-01,85576.0,9
2021-12-02,86213.0,6
2021-12-03,78687.0,4
2021-12-04,57157.0,3
2021-12-05,55036.0,3
2021-12-06,73533.0,1
2021-12-07,75776.0,3
2021-12-08,75412.0,1
2021-12-09,76328.0,3
2021-12-10,73559.0,2
2021-12-11,52978.0,1
2021-12-12,52233.0,1
2021-12-13,73743.0,7
2021-12-14,74385.0,4
2021-12-15,74552.0,7
2021-12-16,78526.0,4
2021-12-17,77823.0,1
2021-12-18,54233.0,2
2021-12-19,54910.0,2
2021-12-20,74984.0,2
2021-12-21,78608.0,3
2021-12-22,79738.0,2
2021-12-23,69109.0,4
2021-12-24,41919.0,4
2021-12-28,48893.0,1
2021-12-29,53386.0,1
2021-12-30,52557.0,2
2021-12-31,34343.0,1
2022-01-02,43215.0,1
2022-01-03,60320.0,3
2022-01-04,63516.0,3
2022-01-05,65638.0,2
2022-01-06,68392.0,3
2022-01-07,64114.0,2
2022-01-08,44938.0,1
2022-01-09,44916.0,1
2022-01-10,71673.0,2
2022-01-11,72360.0,2
2022-01-12,73976.0,1
2022-01-13,76705.0,4
2022-01-14,72521.0,4
2022-01-15,49066.0,6
2022-01-16,47202.0,1
2022-01-17,70496.0,5
2022-01-18,71081.0,1
2022-01-19,72030.0,2
2022-01-20,74792.0,3
2022-01-21,70751.0,1
2022-01-22,48683.0,3
2022-01-23,46740.0,2
2022-01-24,68515.0,4
2022-01-25,71444.0,7
2022-01-26,73595.0,4
2022-01-27,75041.0,5
2022-01-28,70127.0,1
2022-01-29,49383.0,2
2022-01-30,50268.0,2
2022-02-02,73902.0,5
2022-02-03,76168.0,3
2022-02-05,49354.0,1
2022-02-06,50731.0,9
2022-02-07,74777.0,4
2022-02-09,79702.0,6
2022-02-10,82279.0,5
2022-02-11,77318.0,7
2022-02-12,54041.0,1
2022-02-13,57113.0,1
2022-02-14,78082.0,1
2022-02-15,79248.0,3
2022-02-16,83573.0,4
2022-02-17,86261.0,4
2022-02-18,82381.0,7
2022-02-19,55343.0,9
2022-02-20,52354.0,6
2022-02-21,72796.0,4
2022-02-22,77203.0,4
2022-02-23,78134.0,2
2022-02-24,75968.0,7
2022-02-25,68775.0,5
2022-02-26,52569.0,9
2022-02-27,56628.0,2
