Traffic_registration_point,Name,Road_reference,From,To,From_Date,From_Time,To_Date,To_Time,Year,Month,Day_of_Week,Vehicle_Type,Count
62991V604777,Maridalsveien,KV14622 S9D1 m425,2020-01-31 23:00:00,2020-02-29 23:00:00,2020-01-31,23:00:00,2020-02-29,23:00:00,2020,1,Friday,Light_Vehicles,4634
62991V604777,Maridalsveien,KV14622 S9D1 m425,2020-01-31 23:00:00,2020-02-29 23:00:00,2020-01-31,23:00:00,2020-02-29,23:00:00,2020,1,Friday,Light_Vehicles,5424
62991V604777,Maridalsveien,KV14622 S9D1 m425,2020-01-31 23:00:00,2020-02-29 23:00:00,2020-01-31,23:00:00,2020-02-29,23:00:00,2020,1,Friday,Light_Vehicles,5278
62991V604777,Maridalsveien,KV14622 S9D1 m425,2020-01-31 23:00:00,2020-02-29 23:00:00,2020-01-31,23:00:00,2020-02-29,23:00:00,2020,1,Friday,Light_Vehicles,4780
62991V604777,Maridalsveien,KV14622 S9D1 m425,2020-01-31 23:00:00,2020-02-29 23:00:00,2020-01-31,23:00:00,2020-02-29,23:00:00,2020,1,Friday,Light_Vehicles,10058
62991V604777,Maridalsveien,KV14622 S9D1 m425,2020-02-29 23:00:00,2020-03-31 22:00:00,2020-02-29,23:00:00,2020-03-31,22:00:00,2020,2,Saturday,Light_Vehicles,3462
62991V604777,Maridalsveien,KV14622 S9D1 m425,2020-02-29 23:00:00,2020-03-31 22:00:00,2020-02-29,23:00:00,2020-03-31,22:00:00,2020,2,Saturday,Light_Vehicles,3814
62991V604777,Maridalsveien,KV14622 S9D1 m425,2020-02-29 23:00:00,2020-03-31 22:00:00,2020-02-29,23:00:00,2020-03-31,22:00:00,2020,2,Saturday,Light_Vehicles,3810
62991V604777,Maridalsveien,KV14622 S9D1 m425,2020-02-29 23:00:00,2020-03-31 22:00:00,2020-02-29,23:00:00,2020-03-31,22:00:00,2020,2,Saturday,Light_Vehicles,3467
62991V604777,Maridalsveien,KV14622 S9D1 m425,2020-02-29 23:00:00,2020-03-31 22:00:00,2020-02-29,23:00:00,2020-03-31,22:00:00,2020,2,Saturday,Light_Vehicles,7276
62991V604777,Maridalsveien,KV14622 S9D1 m425,2020-03-31 22:00:00,2020-04-30 22:00:00,2020-03-31,22:00:00,2020-04-30,22:00:00,2020,3,Tuesday,Light_Vehicles,2997
62991V604777,Maridalsveien,KV14622 S9D1 m425,2020-03-31 22:00:00,2020-04-30 22:00:00,2020-03-31,22:00:00,2020-04-30,22:00:00,2020,3,Tuesday,Light_Vehicles,3286
62991V604777,Maridalsveien,KV14622 S9D1 m425,2020-03-31 22:00:00,2020-04-30 22:00:00,2020-03-31,22:00:00,2020-04-30,22:00:00,2020,3,Tuesday,Light_Vehicles,3282
62991V604777,Maridalsveien,KV14622 S9D1 m425,2020-03-31 22:00:00,2020-04-30 22:00:00,2020-03-31,22:00:00,2020-04-30,22:00:00,2020,3,Tuesday,Light_Vehicles,3001
62991V604777,Maridalsveien,KV14622 S9D1 m425,2020-03-31 22:00:00,2020-04-30 22:00:00,2020-03-31,22:00:00,2020-04-30,22:00:00,2020,3,Tuesday,Light_Vehicles,6283
62991V604777,Maridalsveien,KV14622 S9D1 m425,2020-04-30 22:00:00,2020-05-31 22:00:00,2020-04-30,22:00:00,2020-05-31,22:00:00,2020,4,Thursday,Light_Vehicles,3076
62991V604777,Maridalsveien,KV14622 S9D1 m425,2020-04-30 22:00:00,2020-05-31 22:00:00,2020-04-30,22:00:00,2020-05-31,22:00:00,2020,4,Thursday,Light_Vehicles,2775
62991V604777,Maridalsveien,KV14622 S9D1 m425,2020-04-30 22:00:00,2020-05-31 22:00:00,2020-04-30,22:00:00,2020-05-31,22:00:00,2020,4,Thursday,Light_Vehicles,2703
62991V604777,Maridalsveien,KV14622 S9D1 m425,2020-04-30 22:00:00,2020-05-31 22:00:00,2020-04-30,22:00:00,2020-05-31,22:00:00,2020,4,Thursday,Light_Vehicles,3148
62991V604777,Maridalsveien,KV14622 S9D1 m425,2020-04-30 22:00:00,2020-05-31 22:00:00,2020-04-30,22:00:00,2020-05-31,22:00:00,2020,4,Thursday,Light_Vehicles,5851
62991V604777,Maridalsveien,KV14622 S9D1 m425,2020-11-30 23:00:00,2020-12-31 23:00:00,2020-11-30,23:00:00,2020-12-31,23:00:00,2020,11,Monday,Light_Vehicles,3720
