Year,started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude,start_distance,end_distance,Month
2020,2020-12-01 09:28:56.189000+00:00,2020-12-01 10:17:44.444000+00:00,2928.0,507.0,Jens Bjelkes gate,langs Trondheimsveien,59.919179,10.764162,507.0,Jens Bjelkes gate,langs Trondheimsveien,59.919179,10.764162,0.9617131207534476,0.9617131207534476,12
2020,2020-12-01 09:51:22.693000+00:00,2020-12-01 09:59:18.338000+00:00,475.0,620.0,Bislettgata,ved Sofies Gate,59.92377440938114,10.734712874574,521.0,Jess Carlsens gate,ved Hausmanns gate,59.9186359,10.7523939,0.8889553897201881,0.6562433610641393,12
2020,2020-12-01 09:54:38.909000+00:00,2020-12-01 09:59:41.164000+00:00,302.0,551.0,Olaf Ryes plass,langs Sofienberggata,59.922425,10.758182,521.0,Jess Carlsens gate,ved Hausmanns gate,59.9186359,10.7523939,0.4829594161809233,0.6562433610641393,12
2020,2020-12-01 09:57:10.261000+00:00,2020-12-01 10:04:46.267000+00:00,456.0,507.0,Jens Bjelkes gate,langs Trondheimsveien,59.919179,10.764162,521.0,Jess Carlsens gate,ved Hausmanns gate,59.9186359,10.7523939,0.9617131207534476,0.6562433610641393,12
2020,2020-12-01 10:07:54.765000+00:00,2020-12-01 10:19:28.260000+00:00,693.0,507.0,Jens Bjelkes gate,langs Trondheimsveien,59.919179,10.764162,400.0,OsloMet,langs Pilestredet,59.919927,10.735428,0.9617131207534476,0.984693804046228,12
2020,2020-12-01 10:12:07.707000+00:00,2020-12-01 10:16:08.799000+00:00,241.0,398.0,Ringnes Park,ved Sannergata,59.92843404417577,10.75943014633117,385.0,Søndre gate,ved Ankerbrua,59.918632,10.757867,0.6658408826291513,0.766858466191609,12
2020,2020-12-01 10:13:22.157000+00:00,2020-12-01 10:19:55.399000+00:00,393.0,442.0,Vulkan,ved Maridalsveien,59.92251,10.75101,489.0,Torggata,ved Bernt Ankers gate,59.91598309274519,10.75155119076095,0.21799500368211,0.9453004914728216,12
2020,2020-12-01 10:28:10.415000+00:00,2020-12-01 10:32:46.668000+00:00,276.0,585.0,Nordre gate,ved Grünerbrua,59.92114988507087,10.754714015938562,739.0,Hammersborg Torg,langs Møllergata,59.91652053839767,10.749202233135232,0.4355061911580464,0.8869723747748545,12
2020,2020-12-01 11:01:48.934000+00:00,2020-12-01 11:06:02.494000+00:00,253.0,463.0,Schous plass trikkestopp,ved biblioteket,59.9207284,10.7594857,398.0,Ringnes Park,ved Sannergata,59.92843404417577,10.75943014633117,0.6495916980180059,0.6658408826291513,12
2020,2020-12-01 11:14:46.998000+00:00,2020-12-01 11:53:22.497000+00:00,2315.0,507.0,Jens Bjelkes gate,langs Trondheimsveien,59.919179,10.764162,507.0,Jens Bjelkes gate,langs Trondheimsveien,59.919179,10.764162,0.9617131207534476,0.9617131207534476,12
2020,2020-12-01 11:25:05.156000+00:00,2020-12-01 11:33:18.930000+00:00,493.0,507.0,Jens Bjelkes gate,langs Trondheimsveien,59.919179,10.764162,537.0,St. Olavs gate,ved Pilestredet,59.9179676629428,10.738628884264756,0.9617131207534476,0.9831862492668944,12
2020,2020-12-01 11:30:28.382000+00:00,2020-12-01 11:38:52.515000+00:00,504.0,489.0,Torggata,ved Bernt Ankers gate,59.91598309274519,10.75155119076095,489.0,Torggata,ved Bernt Ankers gate,59.91598309274519,10.75155119076095,0.9453004914728216,0.9453004914728216,12
2020,2020-12-01 11:41:30.189000+00:00,2020-12-01 12:19:00.224000+00:00,2250.0,518.0,Ullevålsveien,ved taxi stoppen,59.9246852,10.7395045,518.0,Ullevålsveien,ved taxi stoppen,59.9246852,10.7395045,0.6182828774469906,0.6182828774469906,12
2020,2020-12-01 11:50:17.956000+00:00,2020-12-01 15:32:55.477000+00:00,13357.0,385.0,Søndre gate,ved Ankerbrua,59.918632,10.757867,398.0,Ringnes Park,ved Sannergata,59.92843404417577,10.75943014633117,0.766858466191609,0.6658408826291513,12
2020,2020-12-01 11:57:04.035000+00:00,2020-12-01 12:28:12.371000+00:00,1868.0,493.0,Sofienbergparken nordvest,langs Helgesens Gate,59.9243639,10.7615858,598.0,Sofienbergparken nord,langs Helgesens gate,59.923229,10.766171,0.6172817476154624,0.8842330488080928,12
2020,2020-12-01 12:03:42.095000+00:00,2020-12-01 12:05:51.997000+00:00,129.0,398.0,Ringnes Park,ved Sannergata,59.92843404417577,10.75943014633117,421.0,Alexander Kiellands Plass,langs Maridalsveien,59.92806670615684,10.751202636819611,0.6658408826291513,0.40425771419613,12
2020,2020-12-01 12:26:55.622000+00:00,2020-12-01 12:31:25.783000+00:00,270.0,463.0,Schous plass trikkestopp,ved biblioteket,59.9207284,10.7594857,444.0,AHO,langs Maridalsveien,59.925265,10.750462,0.6495916980180059,0.0905995117259821,12
2020,2020-12-01 12:42:02.728000+00:00,2020-12-01 13:09:07.121000+00:00,1624.0,597.0,Fredensborg,ved rundkjøringen,59.920995,10.750358,620.0,Bislettgata,ved Sofies Gate,59.92377440938114,10.734712874574,0.3854087776097813,0.8889553897201881,12
2020,2020-12-01 12:44:48.462000+00:00,2020-12-01 12:51:27.993000+00:00,399.0,598.0,Sofienbergparken nord,langs Helgesens gate,59.923229,10.766171,489.0,Torggata,ved Bernt Ankers gate,59.91598309274519,10.75155119076095,0.8842330488080928,0.9453004914728216,12
2020,2020-12-01 13:44:28.293000+00:00,2020-12-01 13:49:31.116000+00:00,302.0,442.0,Vulkan,ved Maridalsveien,59.92251,10.75101,489.0,Torggata,ved Bernt Ankers gate,59.91598309274519,10.75155119076095,0.21799500368211,0.9453004914728216,12
2020,2020-12-01 13:47:20.535000+00:00,2020-12-01 13:57:39.698000+00:00,619.0,489.0,Torggata,ved Bernt Ankers gate,59.91598309274519,10.75155119076095,503.0,Fagerheimgata,ved Dælenenga busstopp,59.92760586837719,10.76598469881135,0.9453004914728216,0.9319136746599468,12
2020,2020-12-01 14:04:06.159000+00:00,2020-12-01 14:07:21.690000+00:00,195.0,412.0,Jakob kirke,langs Torggata,59.917866,10.754898,551.0,Olaf Ryes plass,langs Sofienberggata,59.922425,10.758182,0.7731107645605718,0.4829594161809233,12
2020,2020-12-01 14:31:21.729000+00:00,2020-12-01 14:38:14.510000+00:00,412.0,439.0,Mølleparken,ved Sannerbrua,59.9283928,10.7559693,385.0,Søndre gate,ved Ankerbrua,59.918632,10.757867,0.5334005797031933,0.766858466191609,12
2020,2020-12-01 14:40:43.026000+00:00,2020-12-01 14:46:19.939000+00:00,336.0,424.0,Birkelunden,langs Seilduksgata,59.9256113,10.760926,507.0,Jens Bjelkes gate,langs Trondheimsveien,59.919179,10.764162,0.5944661338902347,0.9617131207534476,12
2020,2020-12-01 14:50:41.912000+00:00,2020-12-01 15:11:03.914000+00:00,1222.0,398.0,Ringnes Park,ved Sannergata,59.92843404417577,10.75943014633117,385.0,Søndre gate,ved Ankerbrua,59.918632,10.757867,0.6658408826291513,0.766858466191609,12
2020,2020-12-01 15:02:49.120000+00:00,2020-12-01 15:08:51.652000+00:00,362.0,442.0,Vulkan,ved Maridalsveien,59.92251,10.75101,398.0,Ringnes Park,ved Sannergata,59.92843404417577,10.75943014633117,0.21799500368211,0.6658408826291513,12
2020,2020-12-01 15:05:28.279000+00:00,2020-12-01 15:10:13.768000+00:00,285.0,398.0,Ringnes Park,ved Sannergata,59.92843404417577,10.75943014633117,412.0,Jakob kirke,langs Torggata,59.917866,10.754898,0.6658408826291513,0.7731107645605718,12
2020,2020-12-01 15:07:56.607000+00:00,2020-12-01 15:12:20.591000+00:00,263.0,493.0,Sofienbergparken nordvest,langs Helgesens Gate,59.9243639,10.7615858,444.0,AHO,langs Maridalsveien,59.925265,10.750462,0.6172817476154624,0.0905995117259821,12
2020,2020-12-01 15:11:14.223000+00:00,2020-12-01 15:18:11.237000+00:00,417.0,398.0,Ringnes Park,ved Sannergata,59.92843404417577,10.75943014633117,489.0,Torggata,ved Bernt Ankers gate,59.91598309274519,10.75155119076095,0.6658408826291513,0.9453004914728216,12
2020,2020-12-01 15:12:42.479000+00:00,2020-12-01 15:16:20.503000+00:00,218.0,444.0,AHO,langs Maridalsveien,59.925265,10.750462,521.0,Jess Carlsens gate,ved Hausmanns gate,59.9186359,10.7523939,0.0905995117259821,0.6562433610641393,12
2020,2020-12-01 15:17:42.770000+00:00,2020-12-01 15:31:01.380000+00:00,798.0,400.0,OsloMet,langs Pilestredet,59.919927,10.735428,400.0,OsloMet,langs Pilestredet,59.919927,10.735428,0.984693804046228,0.984693804046228,12
2020,2020-12-01 15:24:55.519000+00:00,2020-12-01 15:31:27.102000+00:00,391.0,400.0,OsloMet,langs Pilestredet,59.919927,10.735428,521.0,Jess Carlsens gate,ved Hausmanns gate,59.9186359,10.7523939,0.984693804046228,0.6562433610641393,12
