Traffic_registration_point,Name,Road_reference,From,To,From_Date,From_Time,To_Date,To_Time,Year,Month,Day_of_Week,Vehicle_Type,Count
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-06-30 22:00:00,2020-07-31 22:00:00,2020-06-30,22:00:00,2020-07-31,22:00:00,2020,6,Tuesday,Light_Vehicles,4480
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-06-30 22:00:00,2020-07-31 22:00:00,2020-06-30,22:00:00,2020-07-31,22:00:00,2020,6,Tuesday,Light_Vehicles,4433
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-06-30 22:00:00,2020-07-31 22:00:00,2020-06-30,22:00:00,2020-07-31,22:00:00,2020,6,Tuesday,Light_Vehicles,814
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-06-30 22:00:00,2020-07-31 22:00:00,2020-06-30,22:00:00,2020-07-31,22:00:00,2020,6,Tuesday,Light_Vehicles,4447
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-06-30 22:00:00,2020-07-31 22:00:00,2020-06-30,22:00:00,2020-07-31,22:00:00,2020,6,Tuesday,Light_Vehicles,5280
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-06-30 22:00:00,2020-07-31 22:00:00,2020-06-30,22:00:00,2020-07-31,22:00:00,2020,6,Tuesday,Light_Vehicles,9727
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-07-31 22:00:00,2020-08-31 22:00:00,2020-07-31,22:00:00,2020-08-31,22:00:00,2020,7,Friday,Light_Vehicles,5130
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-07-31 22:00:00,2020-08-31 22:00:00,2020-07-31,22:00:00,2020-08-31,22:00:00,2020,7,Friday,Light_Vehicles,5529
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-07-31 22:00:00,2020-08-31 22:00:00,2020-07-31,22:00:00,2020-08-31,22:00:00,2020,7,Friday,Light_Vehicles,964
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-07-31 22:00:00,2020-08-31 22:00:00,2020-07-31,22:00:00,2020-08-31,22:00:00,2020,7,Friday,Light_Vehicles,5533
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-07-31 22:00:00,2020-08-31 22:00:00,2020-07-31,22:00:00,2020-08-31,22:00:00,2020,7,Friday,Light_Vehicles,6090
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-07-31 22:00:00,2020-08-31 22:00:00,2020-07-31,22:00:00,2020-08-31,22:00:00,2020,7,Friday,Light_Vehicles,11624
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-08-31 22:00:00,2020-09-30 22:00:00,2020-08-31,22:00:00,2020-09-30,22:00:00,2020,8,Monday,Light_Vehicles,5199
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-08-31 22:00:00,2020-09-30 22:00:00,2020-08-31,22:00:00,2020-09-30,22:00:00,2020,8,Monday,Light_Vehicles,5729
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-08-31 22:00:00,2020-09-30 22:00:00,2020-08-31,22:00:00,2020-09-30,22:00:00,2020,8,Monday,Light_Vehicles,1010
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-08-31 22:00:00,2020-09-30 22:00:00,2020-08-31,22:00:00,2020-09-30,22:00:00,2020,8,Monday,Light_Vehicles,5733
