Traffic_registration_point,Name,Road_reference,From,To,Year,Month,Traffic_volume,Confidence_interval_start,Confidence_interval_end,Coverage (%),Total_days,Included_days,Invalid_days,Invalid_length,Length_quality_grade (%),Lane,under_5_6m,over_5_6m,5_6m_to_7_6m,7_6m_to_12_5m,12_5m_to_16_0m,over_16_0m,16_0m_to_24_0m,over_24_0m,Hour,From_Date,From_Time,To_Date,To_Time,Day_of_Week,Light_Vehicles,Heavy_Vehicles,Traffic_Volume_Check,Traffic_Volume_Difference,Days_Check,Traffic_Volume_Outlier
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-02-29 23:00:00,2020-03-31 22:00:00,2020,2,6484,6484,6484,100.0,31,31,0,246,96.2,Totalt i retning Skøyen,5481,757,156,101,29,472,467,5,23,2020-02-29,23:00:00,2020-03-31,22:00:00,Saturday,5481,1987,7468,-984,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-02-29 23:00:00,2020-03-31 22:00:00,2020,2,11985,11985,11985,100.0,31,31,0,265,97.8,Totalt,10312,1407,288,184,39,897,891,6,23,2020-02-29,23:00:00,2020-03-31,22:00:00,Saturday,10312,3712,14024,-2039,0,True
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-03-31 22:00:00,2020-04-30 22:00:00,2020,3,5513,5513,5513,100.0,30,30,0,273,95.0,1,4833,407,112,95,25,176,172,4,22,2020-03-31,22:00:00,2020-04-30,22:00:00,Tuesday,4833,991,5824,-311,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-03-31 22:00:00,2020-04-30 22:00:00,2020,3,5586,5586,5586,100.0,30,30,0,14,99.7,2,4958,614,120,78,6,410,409,1,22,2020-03-31,22:00:00,2020-04-30,22:00:00,Tuesday,4958,1638,6596,-1010,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-03-31 22:00:00,2020-04-30 22:00:00,2020,3,1174,1174,1174,100.0,30,30,0,6,99.5,3,852,317,24,11,3,279,278,1,22,2020-03-31,22:00:00,2020-04-30,22:00:00,Tuesday,852,913,1765,-591,0,True
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-03-31 22:00:00,2020-04-30 22:00:00,2020,3,5601,5601,5601,100.0,30,30,0,15,99.7,Totalt i retning Solli Plass,4964,622,123,81,7,412,411,1,22,2020-03-31,22:00:00,2020-04-30,22:00:00,Tuesday,4964,1657,6621,-1020,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-03-31 22:00:00,2020-04-30 22:00:00,2020,3,6672,6672,6672,100.0,30,30,0,278,95.8,Totalt i retning Skøyen,5679,716,132,103,27,453,448,5,22,2020-03-31,22:00:00,2020-04-30,22:00:00,Tuesday,5679,1884,7563,-891,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-03-31 22:00:00,2020-04-30 22:00:00,2020,3,12273,12273,12273,100.0,30,30,0,293,97.6,Totalt,10643,1338,255,185,34,864,859,5,22,2020-03-31,22:00:00,2020-04-30,22:00:00,Tuesday,10643,3540,14183,-1910,0,True
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-04-30 22:00:00,2020-05-31 22:00:00,2020,4,5839,5839,5839,100.0,31,31,0,396,93.2,1,5031,411,119,95,27,170,165,5,22,2020-04-30,22:00:00,2020-05-31,22:00:00,Thursday,5031,992,6023,-184,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-04-30 22:00:00,2020-05-31 22:00:00,2020,4,6244,6244,6244,100.0,31,31,0,36,99.4,2,5530,679,162,84,11,422,420,2,22,2020-04-30,22:00:00,2020-05-31,22:00:00,Thursday,5530,1780,7310,-1066,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-04-30 22:00:00,2020-05-31 22:00:00,2020,4,1383,1383,1383,100.0,31,31,0,13,99.1,3,1041,329,29,14,4,282,281,1,22,2020-04-30,22:00:00,2020-05-31,22:00:00,Thursday,1041,940,1981,-598,0,True
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-04-30 22:00:00,2020-05-31 22:00:00,2020,4,6260,6260,6260,100.0,31,31,0,39,99.4,Totalt i retning Solli Plass,5534,687,165,86,12,424,422,2,22,2020-04-30,22:00:00,2020-05-31,22:00:00,Thursday,5534,1798,7332,-1072,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-04-30 22:00:00,2020-05-31 22:00:00,2020,4,7206,7206,7206,100.0,31,31,0,405,94.4,Totalt i retning Skøyen,6068,733,145,107,31,450,444,6,22,2020-04-30,22:00:00,2020-05-31,22:00:00,Thursday,6068,1916,7984,-778,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-04-30 22:00:00,2020-05-31 22:00:00,2020,4,13466,13466,13466,100.0,31,31,0,444,96.7,Totalt,11602,1420,310,193,43,873,865,8,22,2020-04-30,22:00:00,2020-05-31,22:00:00,Thursday,11602,3712,15314,-1848,0,True
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-05-31 22:00:00,2020-06-30 22:00:00,2020,5,6265,6265,6265,100.0,30,30,0,472,92.5,1,5356,438,128,105,30,175,170,5,22,2020-05-31,22:00:00,2020-06-30,22:00:00,Sunday,5356,1051,6407,-142,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-05-31 22:00:00,2020-06-30 22:00:00,2020,5,7078,7078,7078,100.0,30,30,0,46,99.4,2,6259,773,206,109,12,445,443,2,22,2020-05-31,22:00:00,2020-06-30,22:00:00,Sunday,6259,1990,8249,-1171,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-05-31 22:00:00,2020-06-30 22:00:00,2020,5,1633,1633,1633,100.0,30,30,0,15,99.1,3,1269,348,38,18,5,287,285,2,22,2020-05-31,22:00:00,2020-06-30,22:00:00,Sunday,1269,983,2252,-619,0,True
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-05-31 22:00:00,2020-06-30 22:00:00,2020,5,7093,7093,7093,100.0,30,30,0,49,99.3,Totalt i retning Solli Plass,6263,780,209,112,13,446,444,2,22,2020-05-31,22:00:00,2020-06-30,22:00:00,Sunday,6263,2006,8269,-1176,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-05-31 22:00:00,2020-06-30 22:00:00,2020,5,7883,7883,7883,100.0,30,30,0,484,93.9,Totalt i retning Skøyen,6621,778,164,120,35,460,453,7,22,2020-05-31,22:00:00,2020-06-30,22:00:00,Sunday,6621,2017,8638,-755,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-05-31 22:00:00,2020-06-30 22:00:00,2020,5,14976,14976,14976,100.0,30,30,0,534,96.4,Totalt,12884,1559,373,232,48,906,897,9,22,2020-05-31,22:00:00,2020-06-30,22:00:00,Sunday,12884,4024,16908,-1932,0,True
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-06-30 22:00:00,2020-07-31 22:00:00,2020,6,5150,5150,5150,100.0,31,31,0,209,95.9,1,4480,461,121,88,25,227,224,3,22,2020-06-30,22:00:00,2020-07-31,22:00:00,Tuesday,4480,1149,5629,-479,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-06-30 22:00:00,2020-07-31 22:00:00,2020,6,5082,5082,5082,100.0,31,31,0,8,99.8,2,4433,641,149,79,3,410,410,0,22,2020-06-30,22:00:00,2020-07-31,22:00:00,Tuesday,4433,1692,6125,-1043,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-06-30 22:00:00,2020-07-31 22:00:00,2020,6,1123,1123,1123,100.0,31,31,0,5,99.6,3,814,304,24,11,4,266,265,1,22,2020-06-30,22:00:00,2020-07-31,22:00:00,Tuesday,814,875,1689,-566,0,True
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-06-30 22:00:00,2020-07-31 22:00:00,2020,6,5108,5108,5108,100.0,31,31,0,10,99.8,Totalt i retning Solli Plass,4447,651,152,83,4,412,412,0,22,2020-06-30,22:00:00,2020-07-31,22:00:00,Tuesday,4447,1714,6161,-1053,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-06-30 22:00:00,2020-07-31 22:00:00,2020,6,6248,6248,6248,100.0,31,31,0,213,96.6,Totalt i retning Skøyen,5280,755,143,95,27,490,486,4,22,2020-06-30,22:00:00,2020-07-31,22:00:00,Tuesday,5280,2000,7280,-1032,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-06-30 22:00:00,2020-07-31 22:00:00,2020,6,11356,11356,11356,100.0,31,31,0,223,98.0,Totalt,9727,1406,295,178,32,902,898,4,22,2020-06-30,22:00:00,2020-07-31,22:00:00,Tuesday,9727,3715,13442,-2086,0,True
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-07-31 22:00:00,2020-08-31 22:00:00,2020,7,5938,5938,5938,100.0,31,31,0,364,93.9,1,5130,443,133,90,30,191,187,4,22,2020-07-31,22:00:00,2020-08-31,22:00:00,Friday,5130,1078,6208,-270,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-07-31 22:00:00,2020-08-31 22:00:00,2020,7,6237,6237,6237,100.0,31,31,0,24,99.6,2,5529,684,171,83,6,425,424,1,22,2020-07-31,22:00:00,2020-08-31,22:00:00,Friday,5529,1794,7323,-1086,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-07-31 22:00:00,2020-08-31 22:00:00,2020,7,1292,1292,1292,100.0,31,31,0,10,99.2,3,964,318,27,13,4,275,273,2,22,2020-07-31,22:00:00,2020-08-31,22:00:00,Friday,964,912,1876,-584,0,True
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-07-31 22:00:00,2020-08-31 22:00:00,2020,7,6250,6250,6250,100.0,31,31,0,26,99.6,Totalt i retning Solli Plass,5533,691,173,85,6,426,425,1,22,2020-07-31,22:00:00,2020-08-31,22:00:00,Friday,5533,1807,7340,-1090,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-07-31 22:00:00,2020-08-31 22:00:00,2020,7,7217,7217,7217,100.0,31,31,0,372,94.8,Totalt i retning Skøyen,6090,754,158,100,33,464,458,6,22,2020-07-31,22:00:00,2020-08-31,22:00:00,Friday,6090,1973,8063,-846,0,False
